val_loss,val_mIoU,val_F1,val_OA,epoch,step,train_loss,train_mIoU,train_F1,train_OA
0.6661880612373352,0.7579440055989798,0.858692946067355,0.8858464419310592,0,150,,,,
,,,,0,150,1.0107555389404297,0.6025631173678624,0.7389618999460119,0.7978549289991789
0.5757678747177124,0.8000764517210994,0.8865059854339081,0.9060820130575262,1,301,,,,
,,,,1,301,0.8313773274421692,0.6892911164499519,0.810515857786695,0.8439301773810167
0.5461133718490601,0.8052298478651517,0.8896254236184227,0.9099637643740763,2,452,,,,
,,,,2,452,0.7911012172698975,0.7122227347245482,0.8274834891371896,0.8559961636187056
0.5107554197311401,0.8221705104349912,0.9008787330799635,0.9139545788555619,3,603,,,,
,,,,3,603,0.7460746765136719,0.7321371434233814,0.8412097269251463,0.8688125194807862
0.5040651559829712,0.829090616754742,0.9049635052031693,0.9172685804685711,4,754,,,,
,,,,4,754,0.7179151177406311,0.738765309099397,0.8460946494136442,0.8710851265817985
0.5002496838569641,0.8315646425356981,0.9064715954073881,0.9181378202648598,5,905,,,,
,,,,5,905,0.7133290767669678,0.7501064613462113,0.8538741584094479,0.8773295711585889
0.48030954599380493,0.8380112425356027,0.9104359891773471,0.9210851540660567,6,1056,,,,
,,,,6,1056,0.6828709244728088,0.7560280283420041,0.8578227430839833,0.8810011993208705
0.49745556712150574,0.8338737672892715,0.9077299823957498,0.9193486125482214,7,1207,,,,
,,,,7,1207,0.6675839424133301,0.764941215669931,0.8638964941128091,0.8853374286711311
0.4826129674911499,0.8380095103864257,0.9103888786615139,0.9220208193829561,8,1358,,,,
,,,,8,1358,0.6621888279914856,0.7671739623832146,0.8654343220235775,0.885880767581378
0.503009557723999,0.828602059181297,0.9042075451622557,0.915973335914601,9,1509,,,,
,,,,9,1509,0.6567981243133545,0.7722074380124853,0.8687728133767225,0.8882816172538259
0.48639586567878723,0.8431732062858067,0.9135183448912304,0.9236637492358541,10,1660,,,,
,,,,10,1660,0.660911500453949,0.7728700747857589,0.8691053840771449,0.8902123822449929
0.48855555057525635,0.8405973846390907,0.9118708408406822,0.9214625211124038,11,1811,,,,
,,,,11,1811,0.6424911022186279,0.7803760229769517,0.8741864803722826,0.8931072523655395
0.48537227511405945,0.8425938723369153,0.9131223346373586,0.9222135383494281,12,1962,,,,
,,,,12,1962,0.642512857913971,0.7800244135815605,0.8739445494892211,0.8934807097395736
0.4851953983306885,0.8424034920729253,0.912985838296081,0.9228046511457498,13,2113,,,,
,,,,13,2113,0.6305971741676331,0.7839302430120003,0.8763633531517687,0.8958903630690501
0.4859851002693176,0.8438900815045656,0.9138917061463175,0.9235214998595823,14,2264,,,,
,,,,14,2264,0.6347917914390564,0.7834656860485716,0.8760883803517677,0.8960738420058685
0.4892594516277313,0.8355316376657976,0.9087056503256212,0.9206483969759023,15,2415,,,,
,,,,15,2415,0.6842803359031677,0.759825896943487,0.8605220038877268,0.882575182851555
